procedure,quantity,n_elements,max_abs,max_rel
kaplan_meier,time,139,0.0,0.0
kaplan_meier,survival,139,2.220446049250313e-16,7.19720778839501e-16
kaplan_meier,n_risk,139,0.0,0.0
kaplan_meier,std_err,139,2.0816681711721685e-17,7.592435933361708e-16
kaplan_meier,ci_lower,139,2.220446049250313e-16,1.0063436593374995e-15
kaplan_meier,ci_upper,139,3.3306690738754696e-16,1.1285929623741823e-15
kaplan_meier,median_survival,1,0.0,0.0
survdiff,statistic,1,1.7763568394002505e-15,1.720152248560687e-16
survdiff,p_value,1,2.2985086056692694e-17,1.7530283728590268e-14
survdiff,observed,2,0.0,0.0
survdiff,expected,2,1.4210854715202004e-14,1.5517126957605768e-16
coxph,coefficients,3,1.887379141862766e-15,5.486275715870575e-15
coxph,hazard_ratios,3,2.886579864025407e-15,1.8154690932135638e-15
coxph,standard_errors,3,2.7755575615628914e-17,5.61556018205819e-16
coxph,z_values,3,1.687538997430238e-14,5.950150596719963e-15
coxph,p_values,3,2.7478019859472624e-15,7.329287002419079e-14
coxph,concordance,1,1.1102230246251565e-16,1.7425226452175752e-16
coxph,loglik_model,1,1.1368683772161603e-13,1.5589981048406957e-16
discrete_time,coefficients,3,2.220446049250313e-16,1.0299143001705825e-15
discrete_time,standard_errors,3,5.551115123125783e-17,2.669925377372956e-16
discrete_time,z_values,3,1.1102230246251565e-15,1.0589588937055735e-15
discrete_time,p_values,3,6.661338147750939e-16,5.997171265471235e-15
