np_cond,lib_cond_fp32,cpu_coef_max_rel_vs_r,gpu_status,gpu_refuse_reason,gpu_coef_rel_vs_cpu,gpu_fitted_rel_vs_cpu,gpu_rss_rel_vs_cpu,gpu_force_status
20.35445776283167,20.354974734654387,9.270645428160785e-16,accepted,,5.850501465091814e-05,3.90663958934876e-06,3.167210782099251e-08,accepted
43.697853847115276,43.69737634934131,3.8426672441848396e-16,accepted,,3.043354809688243e-05,9.566413148159562e-07,1.6486899364090075e-09,accepted
94.03494897266383,94.06663088666956,3.792734807635011e-16,accepted,,0.0009751948342339189,1.3691604427289765e-05,3.99389115477604e-07,accepted
202.5038095737911,202.6400558754834,2.715929180036844e-15,accepted,,0.0037835404951732862,2.5753835398745083e-05,1.3249305314664762e-06,accepted
436.2025554977313,439.0345212060295,2.102527567745289e-15,accepted,,0.024985140768636126,0.00010876464064415905,2.5720574301278054e-05,accepted
939.6957256572512,926.3340139295608,1.5847646976303728e-13,accepted,,0.1133669984329107,0.00011878236843395858,2.9641744402684188e-05,accepted
2024.4409587157966,2232.9231442094283,1.6671256676111714e-13,accepted,,0.44297563022288217,0.0004426353868745473,0.0004344101776670629,accepted
4361.454684482672,3163.943806167123,1.0098375270872581e-11,accepted,,0.052894914377852056,3.4388001290753355e-06,2.918698781609562e-08,accepted
9396.398574622297,14238.606643571093,3.5838527221085044e-12,accepted,,0.7370712088319289,0.0006119120415514008,0.0007151079125010245,accepted
20243.856561964498,,2.7408855637415077e-13,refused,fp32-cholesky-breakdown,,,,accepted
